# Time-averaged data for fix myat1
# TimeStep v_kenergy v_penergy v_pres v_tempera v_dense v_entha
0 11.265 -238.983 6218.66 350 0.896305 -186.389
10 10.3485 -238.046 6548.77 321.526 0.896305 -184.174
20 9.93164 -237.18 6743.15 308.572 0.896305 -182.434
30 11.4006 -238.573 6239.58 354.214 0.896305 -185.704
40 13.9442 -241.214 5308.34 433.242 0.896305 -191.991
50 16.0086 -243.813 4482.19 497.382 0.896305 -198.016
60 17.0065 -245.59 3769.57 528.387 0.896305 -203.531
70 16.4894 -246.557 3180.08 512.318 0.896305 -208.933
80 16.3546 -247.111 2788.21 508.13 0.896305 -212.226
90 15.3337 -247.273 2471.4 476.414 0.896305 -215.514
100 15.1472 -247.677 2117.7 470.619 0.896305 -218.455
110 14.7619 -248.457 1647.61 458.646 0.896305 -222.745
120 14.3327 -249.442 1110.14 445.311 0.896305 -227.732
130 14.863 -250.255 783.932 461.789 0.896305 -230.182
140 14.7629 -250.832 536.726 458.678 0.896305 -232.502
150 14.6586 -251.612 238.149 455.438 0.896305 -235.37
160 14.6631 -252.295 -21.0013 455.576 0.896305 -237.771
170 14.4035 -252.468 -95.7885 447.511 0.896305 -238.701
180 13.4922 -252.356 -124.213 419.196 0.896305 -239.689
190 13.4927 -252.318 -106.633 419.213 0.896305 -239.534
200 12.6446 -252.289 -197.256 392.864 0.896305 -240.955
210 12.8924 -252.481 -219.41 400.563 0.896305 -241.046
220 13.0731 -252.823 -311.94 406.176 0.896305 -241.823
230 13.3318 -253.087 -323.57 414.213 0.896305 -241.906
240 12.4275 -253.219 -440.39 386.119 0.896305 -243.718
250 12.4255 -253.478 -520.6 386.056 0.896305 -244.513
260 12.117 -253.845 -678.562 376.47 0.896305 -246.237
270 11.9602 -254.141 -838.654 371.597 0.896305 -247.754
280 11.5053 -254.175 -935.569 357.465 0.896305 -248.888
290 11.7303 -253.971 -833.932 364.456 0.896305 -247.783
300 11.6769 -253.897 -762.652 362.796 0.896305 -247.289
310 12.175 -254.266 -828.833 378.272 0.896305 -247.599
320 12.2541 -254.687 -950.584 380.731 0.896305 -248.751
330 12.6479 -254.826 -928.918 392.964 0.896305 -248.352
340 12.1635 -254.771 -961.31 377.916 0.896305 -248.997
350 11.8971 -254.726 -992.051 369.64 0.896305 -249.422
360 11.4559 -254.657 -1031.8 355.93 0.896305 -250.059
370 11.3321 -254.68 -1057.93 352.083 0.896305 -250.379
380 11.7636 -255.034 -1135.51 365.49 0.896305 -250.817
390 11.602 -255.529 -1366.46 360.47 0.896305 -253.008
400 11.5862 -255.853 -1485.76 359.979 0.896305 -254.141
410 11.2635 -255.999 -1542.05 349.954 0.896305 -254.984
420 10.708 -256.074 -1587.15 332.694 0.896305 -255.914
430 10.5493 -256.13 -1563.51 327.763 0.896305 -255.972
440 11.039 -256.253 -1497.9 342.976 0.896305 -255.169
450 11.9697 -256.423 -1429.32 371.895 0.896305 -253.952
460 11.9991 -256.326 -1424.61 372.809 0.896305 -253.794
470 11.3719 -255.849 -1339.32 353.321 0.896305 -253.378
480 11.1236 -255.524 -1271.45 345.606 0.896305 -252.851
490 11.2789 -255.548 -1254.53 350.431 0.896305 -252.607
500 11.2501 -255.716 -1301.33 349.536 0.896305 -253.115
510 10.5392 -255.877 -1419.17 327.45 0.896305 -254.769
520 11.4068 -256.198 -1460.43 354.405 0.896305 -254.497
530 11.4043 -256.481 -1607.97 354.328 0.896305 -255.763
540 11.3648 -256.595 -1636.59 353.099 0.896305 -256.107
550 11.5258 -256.661 -1690.23 358.103 0.896305 -256.368
560 11.8576 -256.564 -1645.49 368.411 0.896305 -255.642
570 11.4397 -256.523 -1664.49 355.428 0.896305 -256.145
580 11.1149 -256.732 -1764.13 345.334 0.896305 -257.342
590 10.8081 -256.912 -1820.51 335.802 0.896305 -258.203
600 11.111 -256.925 -1761.43 345.216 0.896305 -257.52
610 10.5334 -256.631 -1704.26 327.269 0.896305 -257.424
